Date : 2024-11-26 16:07:41
Directory : f:\MVulkanEngine\src
Total : 70 files,  4995 codes, 656 comments, 1436 blanks, all 7087 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         69 |      4,954 |        656 |      1,421 |      7,031 |
| CMake    |          1 |         41 |          0 |         15 |         56 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                   |         70 |      4,995 |        656 |      1,436 |      7,087 |
| . (Files)                                                           |          1 |         41 |          0 |         15 |         56 |
| include                                                             |         35 |      1,622 |        160 |        512 |      2,294 |
| include (Files)                                                     |          4 |        151 |          6 |         51 |        208 |
| include\MVulkanRHI                                                  |         15 |        835 |         76 |        262 |      1,173 |
| include\Managers                                                    |          4 |         91 |          3 |         29 |        123 |
| include\Scene                                                       |          7 |        173 |         41 |         66 |        280 |
| include\Scene (Files)                                               |          4 |        118 |         41 |         47 |        206 |
| include\Scene\Light                                                 |          3 |         55 |          0 |         19 |         74 |
| include\Shaders                                                     |          3 |        160 |          3 |         51 |        214 |
| include\Utils                                                       |          2 |        212 |         31 |         53 |        296 |
| source                                                              |         34 |      3,332 |        496 |        909 |      4,737 |
| source (Files)                                                      |          4 |        281 |         85 |         77 |        443 |
| source\MVulkanRHI                                                   |         17 |      2,588 |        235 |        700 |      3,523 |
| source\Managers                                                     |          2 |         70 |          1 |         18 |         89 |
| source\Scene                                                        |          7 |        179 |        127 |         69 |        375 |
| source\Scene (Files)                                                |          4 |        178 |        127 |         66 |        371 |
| source\Scene\Light                                                  |          3 |          1 |          0 |          3 |          4 |
| source\Shaders                                                      |          3 |        213 |         48 |         44 |        305 |
| source\Utils                                                        |          1 |          1 |          0 |          1 |          2 |
+---------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                            | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------+----------+------------+------------+------------+------------+
| f:\MVulkanEngine\src\CMakeLists.txt                                 | CMake    |         41 |          0 |         15 |         56 |
| f:\MVulkanEngine\src\include\Camera.hpp                             | C++      |         74 |          1 |         26 |        101 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanAttachmentBuffer.hpp | C++      |         18 |         14 |         10 |         42 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanBuffer.hpp           | C++      |        157 |         40 |         39 |        236 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanCommand.hpp          | C++      |         96 |          2 |         25 |        123 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanDescriptor.hpp       | C++      |         52 |          5 |         13 |         70 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanDevice.hpp           | C++      |         64 |          1 |         27 |         92 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanEngine.hpp           | C++      |        158 |          8 |         42 |        208 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanFrameBuffer.hpp      | C++      |         53 |          3 |         18 |         74 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanInstance.hpp         | C++      |         22 |          0 |         12 |         34 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanPipeline.hpp         | C++      |         26 |          0 |         10 |         36 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanRenderPass.hpp       | C++      |         23 |          0 |          9 |         32 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanSampler.hpp          | C++      |         10 |          0 |          4 |         14 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanShader.hpp           | C++      |         55 |          3 |         18 |         76 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanSwapchain.hpp        | C++      |         49 |          0 |         19 |         68 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MVulkanSyncObject.hpp       | C++      |         23 |          0 |          8 |         31 |
| f:\MVulkanEngine\src\include\MVulkanRHI\MWindow.hpp                 | C++      |         29 |          0 |          8 |         37 |
| f:\MVulkanEngine\src\include\Managers\GlobalConfig.hpp              | C++      |         11 |          0 |          7 |         18 |
| f:\MVulkanEngine\src\include\Managers\InputManager.hpp              | C++      |         33 |          1 |          7 |         41 |
| f:\MVulkanEngine\src\include\Managers\Singleton.hpp                 | C++      |         22 |          2 |          4 |         28 |
| f:\MVulkanEngine\src\include\Managers\TextureManager.hpp            | C++      |         25 |          0 |         11 |         36 |
| f:\MVulkanEngine\src\include\RenderPass.hpp                         | C++      |         64 |          5 |         20 |         89 |
